Nome,Tipo,Área m2,Preço R$,quartos,suites,vagas
"SRTVS Bloco M Lote 12, ASA SUL, BRASILIA",Aluguel Loja 380 m²,380 m²,"R$  12.490
Valor m² R$  32",0,0,2
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",Aluguel Sala 1261 m²,1261 m²,"R$  63.065
Valor m² R$  50",0,0,0
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",Aluguel Loja 390 m²,390 m²,"R$  25.000
Valor m² R$  64",0,0,0
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",Aluguel Loja 86 m²,86 m²,"R$  10.285
Valor m² R$  119",0,0,0
"SHIS QI 9/11 Bloco B, LAGO SUL, BRASILIA",Aluguel Loja 300 m²,300 m²,"R$  25.000
Valor m² R$  83",0,0,0
"EQS 114/115, ASA SUL, BRASILIA",Aluguel Loja 70 m²,70 m²,"R$  4.500
Valor m² R$  64",0,0,0
"SQSW 500, SUDOESTE, BRASILIA",Aluguel Apartamento 178 m²,178 m²,"R$  26.000
Valor m² R$  146",4,4,3
"SHIS QI 11 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 750 m²,750 m²,"R$  31.000
Valor m² R$  41",5,5,6
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 610 m²,610 m²,"R$  19.500
Valor m² R$  31",4,2,2
"SMDB Conjunto 18, LAGO SUL, BRASILIA",Aluguel Casa 630 m²,630 m²,"R$  39.000
Valor m² R$  61",5,5,2
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 500 m²,500 m²,"R$  7.500
Valor m² R$  15",5,3,4
"Condomínio Ouro Vermelho I, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 850 m²,850 m²,"R$  11.000
Valor m² R$  12",5,2,3
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",Aluguel Casa 800 m²,800 m²,"R$  14.000
Valor m² R$  17",4,4,4
"SHIS QL 22 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 400 m²,400 m²,"R$  13.000
Valor m² R$  32",4,1,4
"SHIS QI 15, LAGO SUL, BRASILIA",Aluguel Sala 791 m²,791 m²,"R$  142.380
Valor m² R$  180",0,0,0
"SQS 104, ASA SUL, BRASILIA",Aluguel Apartamento 153 m²,153 m²,"R$  10.000
Valor m² R$  65",4,1,2
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 798 m²,798 m²,"R$  25.000
Valor m² R$  31",3,3,3
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 600 m²,600 m²,"R$  13.900
Valor m² R$  23",5,4,4
"SGCV, PARK SUL, BRASILIA",Aluguel Ponto Comercial 1490 m²,1490 m²,"R$  89.400
Valor m² R$  60",0,0,0
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa 280 m²,280 m²,"R$  8.999
Valor m² R$  32",3,3,0
"SEPN 516 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 472 m²,472 m²,"R$  26.173
Valor m² R$  55",0,0,0
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",Aluguel Casa 681 m²,681 m²,"R$  5.500
Valor m² R$  8",3,1,6
"SHN Quadra 1, ASA NORTE, BRASILIA",Aluguel Sala 351 m²,351 m²,"R$  21.060
Valor m² R$  60",0,0,8
"Area ComErcio Local 1, JARDINS MANGUEIRAL, BRASILIA",Aluguel Sala 29 m²,29 m²,"R$  1.982
Valor m² R$  68",0,0,0
"SQS 409 Bloco H, ASA SUL, BRASILIA",Aluguel Apartamento 86 m²,86 m²,"R$  4.200
Valor m² R$  48",3,1,0
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",Aluguel Sala 300 m²,300 m²,"R$  18.033
Valor m² R$  60",0,0,0
"SHIS QL 12 Conjunto 9, LAGO SUL, BRASILIA",Aluguel Casa 1190 m²,1190 m²,"R$  60.000
Valor m² R$  50",17,4,6
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Apartamento 26 m²,26 m²,"R$  4.500
Valor m² R$  173",0,1,0
"SMPW Quadra 8, PARK WAY, BRASILIA",Aluguel Casa 1000 m²,1000 m²,"R$  20.900
Valor m² R$  20",6,6,0
"Condomínio Mansões Serranas, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 240 m²,240 m²,"R$  6.300
Valor m² R$  26",3,2,3
"Chácaras Estância Santa Paula, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 400 m²,400 m²,"R$  4.000
Valor m² R$  10",3,1,5
"SCES Trecho 4, ASA SUL, BRASILIA",Aluguel Apartamento 52 m²,52 m²,"R$  4.700
Valor m² R$  90",0,1,0
"SBS Quadra 2, ASA SUL, BRASILIA",Aluguel Sala 227 m²,227 m²,"R$  27.600
Valor m² R$  121",0,0,0
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",Aluguel Apartamento 50 m²,50 m²,"R$  3.014
Valor m² R$  60",0,0,0
"SQS 312 Bloco J, ASA SUL, BRASILIA",Aluguel Apartamento 320 m²,320 m²,"R$  15.500
Valor m² R$  48",4,3,2
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",Aluguel Casa 470 m²,470 m²,"R$  12.600
Valor m² R$  26",4,4,4
"SQS 409 Bloco R, ASA SUL, BRASILIA",Aluguel Apartamento 86 m²,86 m²,"R$  4.500
Valor m² R$  52",3,0,0
"EQ 09/10 Bloco E, JARDIM BOTANICO, BRASILIA",Aluguel Sala 35 m²,35 m²,"R$  1.688
Valor m² R$  48",0,0,0
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",Aluguel Loja 147 m²,147 m²,"R$  35.000
Valor m² R$  238",0,0,0
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",Aluguel Casa 230 m²,230 m²,"R$  6.000
Valor m² R$  26",3,3,0
"SHDB QL 32 Conjunto 14, LAGO SUL, BRASILIA",Aluguel Casa 730 m²,730 m²,"R$  19.750
Valor m² R$  27",5,3,2
"Avenida dos Engenheiros, VILA PLANALTO, BRASILIA",Aluguel Kitnet 23 m²,23 m²,"R$  1.800
Valor m² R$  78",0,1,0
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 42 m²,42 m²,"R$  5.000
Valor m² R$  119",0,0,0
"SQNW 307 Bloco I, NOROESTE, BRASILIA",Aluguel Apartamento 84 m²,84 m²,"R$  5.800
Valor m² R$  68",2,1,0
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",Aluguel Galpão 199 m²,199 m²,"R$  6.965
Valor m² R$  35",0,0,0
"SHIS QL 24 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 645 m²,645 m²,"R$  18.000
Valor m² R$  27",4,1,4
"Condomínio Jardim Atlântico Sul, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 335 m²,335 m²,"R$  10.800
Valor m² R$  32",4,4,2
"Praça de Atividades 1, JARDINS MANGUEIRAL, BRASILIA",Aluguel Sala 40 m²,40 m²,"R$  1.800
Valor m² R$  45",0,0,0
"SHTN Trecho 1, ASA NORTE, BRASILIA",Aluguel Apartamento 53 m²,53 m²,"R$  6.841
Valor m² R$  129",0,0,0
"SHIS QI 15 Chacará S 33 A 40, LAGO SUL, BRASILIA",Aluguel Casa 825 m²,825 m²,"R$  45.000
Valor m² R$  54",5,5,16
"SCN Quadra 05 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 33 m²,33 m²,"R$  2.300
Valor m² R$  69",0,0,0
"Condomínio Jardim Botânico I, JARDIM BOTANICO, BRASILIA",Aluguel Apartamento 25 m²,25 m²,"R$  2.300
Valor m² R$  92",0,0,0
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 389 m²,389 m²,"R$  11.000
Valor m² R$  28",4,2,2
